Dimension,Keyword
Human-centred mindset,human-centred mindset
Human-centred mindset,human agency 
Human-centred mindset,human accountability
Human-centred mindset,citizenship in the era of ai 
Ethics of AI,ethics of ai
Ethics of AI,embodied ethics
Ethics of AI,safe and responsible use
Ethics of AI,ethics by design
AI techniques and applications,ai techniques and applications
AI techniques and applications,ai foundations
AI techniques and applications,application skills
AI techniques and applications,creating ai tools
AI system design ,ai system design 
AI system design ,problem scoping
AI system design ,architecture design
AI system design ,iteration and feedback loops
